V1	V2
1	143	349
2	146	349
3	349	1592
4	168	521
5	349	668
6	6	349
7	668	1083
8	222	349
9	241	349
10	168	349
11	146	168
12	6	143
13	349	1267
14	6	146
15	187	211
16	349	2463
17	349	1096
18	143	152
19	668	2184
20	280	349
21	152	349
22	247	668
23	203	349
24	211	708
25	349	1482
26	1073	2053
27	280	1096
28	668	2246
29	349	1995
30	349	392
31	241	1073
32	668	815
33	241	2463
34	349	1669
35	1096	1204
36	349	710
37	72	668
38	349	3401
39	314	1096
40	1083	2184
41	349	677
42	392	1096
43	349	2299
44	411	1096
45	392	411
46	146	152
47	668	1669
48	152	1592
49	349	411
50	349	3773
51	152	1073
52	143	168
53	349	1298
54	280	392
55	56	349
56	349	719
57	6	168
58	112	1073
59	143	203
60	177	349
61	349	2213
62	349	2339
63	531	1096
64	415	1073
65	82	349
66	349	1028
67	564	1096
68	72	1073
69	314	1204
70	1073	1083
71	1083	2246
72	280	1041
73	72	349
74	349	1041
75	349	2246
76	349	1083
77	72	1083
78	37	674
79	392	551
80	349	395
81	143	310
82	196	1581
83	392	1028
84	815	1083
85	141	211
86	11	349
87	403	668
88	56	241
89	668	1466
90	349	1121
91	349	551
92	152	241
93	349	1120
94	349	2734
95	349	2184
96	349	595
97	6	152
98	310	1073
99	241	531
100	53	668
101	668	3323
102	314	349
103	793	1096
104	112	2053
105	349	1153
106	349	2154
107	349	2614
108	146	280
109	203	1083
110	668	3525
111	161	349
112	349	531
113	152	203
114	349	1356
115	1083	1995
116	349	1046
117	1083	3525
118	310	2053
119	668	2401
120	143	241
121	31	349
122	53	349
123	349	410
124	349	1892
125	349	646
126	349	487
127	349	3622
128	663	1096
129	349	1652
130	349	708
131	241	310
132	330	349
133	56	211
134	168	1096
135	310	668
136	119	349
137	349	415
138	193	1096
139	266	349
140	392	1041
141	349	899
142	349	813
143	349	414
144	225	349
145	349	1313
146	349	432
147	146	1482
148	349	465
149	349	672
150	349	433
151	170	668
152	280	1532
153	349	573
154	6	280
155	211	891
156	349	1667
157	434	668
158	349	1728
159	349	617
160	349	848
161	349	697
162	349	1286
163	14	349
164	1096	1532
165	1096	3173
166	349	1011
167	349	407
168	152	1482
169	349	2806
170	349	979
171	349	1418
172	53	1083
173	349	546
174	139	349
175	156	349
176	152	222
177	349	3387
178	349	374
179	7	349
180	349	1073
181	349	543
182	349	1388
183	349	357
184	349	4343
185	211	4557
186	349	838
187	349	917
188	299	349
189	349	842
190	289	349
191	34	349
192	349	679
193	1083	2614
194	349	3191
195	349	3216
196	11	392
197	241	1592
198	349	3023
199	152	280
200	349	1532
201	112	152
202	152	415
203	211	320
204	349	1607
205	241	1287
206	152	708
207	247	349
208	152	187
209	211	701
210	152	310
211	112	310
212	349	639
213	349	1002
214	349	885
215	187	349
216	141	668
217	349	379
218	349	579
219	939	3073
220	11	280
221	349	390
222	349	564
223	349	3579
224	349	1844
225	349	3444
226	172	349
227	259	349
228	349	1299
229	280	1267
230	349	2320
231	349	4992
232	349	994
233	349	542
234	349	4728
235	349	3933
236	27	349
237	349	3342
238	146	1096
239	349	1287
240	337	349
241	349	2100
242	46	349
243	157	349
244	6	82
245	349	3614
246	211	900
247	189	349
248	112	349
249	211	1358
250	152	1995
251	316	349
252	349	3521
253	280	551
254	193	349
255	349	1536
256	349	1895
257	349	754
258	349	3026
259	211	1551
260	143	280
261	318	349
262	349	1362
263	89	392
264	280	1482
265	349	3525
266	349	3094
267	838	1096
268	349	725
269	349	3507
270	349	2054
271	349	709
272	112	241
273	349	2392
274	392	2430
275	141	349
276	349	2334
277	230	349
278	668	1995
279	349	1984
280	349	521
281	14	152
282	62	211
283	349	4327
284	349	977
285	1083	2734
286	349	738
287	247	1083
288	152	617
289	139	152
290	349	3426
291	349	2056
292	349	1863
293	168	531
294	323	349
295	349	1007
296	349	1872
297	349	739
298	349	4286
299	349	2332
300	349	3325
301	266	280
302	349	831
303	211	3174
304	203	1073
305	211	241
306	152	266
307	349	2011
308	152	1356
309	349	2855
310	203	668
311	349	619
312	211	1925
313	349	841
314	392	2213
315	349	638
316	290	349
317	211	3135
318	2	349
319	349	2657
320	211	916
321	349	409
322	639	1667
323	349	731
324	349	3522
325	349	1044
326	349	592
327	211	1104
328	179	349
329	6	1592
330	152	867
331	349	635
332	349	1285
333	146	241
334	211	1287
335	41	349
336	349	3799
337	349	1780
338	349	485
339	152	2806
340	152	668
341	152	465
342	349	750
343	241	2299
344	211	1203
345	202	349
346	152	1046
347	284	349
348	349	3073
349	1083	3065
350	349	383
351	72	310
352	211	629
353	349	2205
354	72	152
355	349	1397
356	349	3769
357	349	3074
358	349	3173
359	152	899
360	349	1010
361	152	359
362	241	2053
363	287	349
364	349	1839
365	349	990
366	939	1725
367	349	947
368	6	1041
369	178	349
370	349	3659
371	349	3323
372	349	2177
373	392	1121
374	349	651
375	280	1121
376	349	2094
377	152	1007
378	152	379
379	111	349
380	349	4026
381	72	2053
382	349	1038
383	251	349
384	1083	1466
385	349	4783
386	152	410
387	349	1204
388	349	815
389	349	5073
390	196	211
391	196	349
392	8	349
393	719	1096
394	349	3802
395	392	1532
396	152	3933
397	152	1299
398	349	2569
399	349	2060
400	349	2114
401	15	349
402	349	520
403	349	2342
404	255	349
405	195	2053
406	127	349
407	349	2477
408	349	916
409	314	663
410	72	241
411	286	349
412	349	763
413	663	1204
414	349	3053
415	211	1709
416	211	1252
417	152	168
418	349	1220
419	349	1253
420	152	3342
421	241	376
422	211	489
423	349	1857
424	211	705
425	349	2527
426	152	842
427	211	651
428	349	1653
429	349	2455
430	668	1418
431	349	879
432	349	1991
433	349	3396
434	152	1667
435	152	3507
436	349	567
437	334	349
438	349	2068
439	280	376
440	349	602
441	152	1153
442	309	349
443	349	2267
444	1083	1413
445	349	3097
446	152	679
447	86	349
448	211	1374
449	349	778
450	30	349
451	152	546
452	86	211
453	349	399
454	349	2080
455	152	196
456	39	349
457	349	537
458	349	1719
459	349	727
460	349	803
461	349	1004
462	349	3061
463	349	1150
464	349	2997
465	260	349
466	349	1319
467	1995	2107
468	152	433
469	311	349
470	211	216
471	349	2159
472	349	855
473	326	349
474	349	2668
475	349	2271
476	349	372
477	152	3773
478	349	1021
479	349	1380
480	319	349
481	211	2016
482	349	447
483	349	559
484	143	668
485	349	2270
486	250	349
487	349	2457
488	338	349
489	15	152
490	152	4343
491	152	579
492	224	349
493	349	1226
494	152	4327
495	211	761
496	349	1066
497	349	1262
498	349	1841
499	310	2090
500	151	668
501	349	1170
502	152	639
503	349	1064
504	349	1070
505	349	3091
506	80	211
507	152	1287
508	152	1374
509	211	902
510	349	690
511	211	719
512	349	3914
513	152	1984
514	349	2004
515	551	1041
516	239	349
517	211	1572
518	349	2311
519	349	875
520	152	2334
521	349	4749
522	11	551
523	152	3091
524	349	3235
525	349	1374
526	152	3579
527	152	917
528	392	1482
529	349	812
530	349	581
531	349	882
532	349	3475
533	349	913
534	241	867
535	152	739
536	211	2080
537	241	1267
538	349	1699
539	939	1487
540	152	754
541	195	211
542	152	407
543	152	189
544	178	211
545	349	577
546	349	663
547	241	1083
548	171	349
549	280	411
550	310	2107
551	211	609
552	211	1272
553	94	349
554	349	3665
555	152	3622
556	174	349
557	152	1362
558	152	157
559	349	1709
560	152	1892
561	195	1073
562	32	349
563	349	2787
564	6	222
565	211	594
566	349	854
567	349	3159
568	152	487
569	349	4169
570	349	3996
571	211	1953
572	349	1932
573	349	2740
574	2107	2578
575	211	399
576	317	349
577	335	349
578	152	3191
579	152	414
580	7	152
581	211	817
582	280	1592
583	88	211
584	152	672
585	152	1388
586	152	543
587	349	3999
588	349	1231
589	349	3710
590	349	3657
591	349	359
592	211	1574
593	211	290
594	349	891
595	211	1097
596	241	410
597	211	2734
598	152	994
599	112	211
600	668	2734
601	349	3045
602	349	2866
603	349	3111
604	349	1345
605	349	688
606	74	211
607	349	2417
608	152	559
609	310	349
610	349	4940
611	211	1984
612	349	939
613	152	1116
614	1083	1319
615	152	2100
616	349	2322
617	349	1551
618	203	310
619	50	349
620	349	2434
621	349	4397
622	152	750
623	349	3413
624	312	349
625	211	1356
626	349	4611
627	152	3235
628	88	349
629	152	848
630	349	3916
631	211	3101
632	230	1083
633	146	392
634	349	538
635	211	1268
636	152	891
637	939	1653
638	76	668
639	241	415
640	349	386
641	1083	1669
642	152	1798
643	349	1798
644	376	1287
645	349	889
646	152	2734
647	112	867
648	349	989
649	152	2213
650	211	3343
651	152	3026
652	339	349
653	349	670
654	349	3930
655	211	1251
656	349	1006
657	349	1116
658	152	1719
659	349	4603
660	211	661
661	241	3135
662	349	847
663	152	1010
664	182	349
665	349	1032
666	349	793
667	349	912
668	349	1487
669	1439	2107
670	349	2196
671	879	1083
672	152	374
673	349	578
674	152	4286
675	349	662
676	349	2974
677	349	3135
678	152	939
679	349	2797
680	143	1083
681	349	353
682	1073	2213
683	211	358
684	349	351
685	349	477
686	349	2090
687	98	211
688	211	1380
689	349	4410
690	211	2100
691	152	1096
692	241	1285
693	141	310
694	152	299
695	211	1249
696	241	3401
697	349	782
698	376	1798
699	349	874
700	222	280
701	349	940
702	349	518
703	97	349
704	152	161
705	349	1140
706	349	2491
707	349	1503
708	349	900
709	152	979
710	349	1648
711	241	719
712	349	1400
713	349	4903
714	132	349
715	211	415
716	211	309
717	34	152
718	146	531
719	349	3271
720	939	1002
721	349	1858
722	152	938
723	349	2889
724	349	2016
725	349	1581
726	280	2213
727	211	335
728	349	406
729	152	390
730	211	1150
731	152	551
732	152	3665
733	349	700
734	211	1400
735	103	349
736	211	2636
737	335	1083
738	279	349
739	349	3385
740	1083	1591
741	241	939
742	1083	1096
743	56	152
744	349	661
745	152	977
746	152	4992
747	731	939
748	349	2281
749	152	1844
750	157	211
751	349	441
752	349	870
753	211	4292
754	349	2087
755	152	1932
756	349	1757
757	211	1176
758	349	439
759	211	2903
760	280	1798
761	152	651
762	349	1483
763	143	531
764	152	323
765	170	1083
766	211	338
767	349	2694
768	531	1083
769	349	3371
770	349	4332
771	349	3251
772	1083	3073
773	349	3514
774	141	1083
775	89	349
776	211	2920
777	195	349
778	211	1612
779	939	1648
780	211	485
781	310	415
782	211	1319
783	211	1128
784	2053	2107
785	152	2299
786	241	1653
787	152	2060
788	146	719
789	349	376
790	349	497
791	152	177
792	349	3751
793	152	309
794	349	2653
795	211	229
796	152	882
797	211	2657
798	1083	1153
799	782	939
800	349	2940
801	152	916
802	349	976
803	349	1941
804	349	736
805	17	349
806	182	2316
807	24	349
808	349	911
809	349	3296
810	349	1394
811	211	830
812	349	938
813	21	349
814	152	778
815	211	2342
816	211	848
817	349	2346
818	152	2657
819	211	3091
820	349	926
821	349	655
822	211	1852
823	392	1120
824	349	1888
825	152	2320
826	349	4968
827	46	152
828	141	2107
829	1798	3464
830	152	913
831	232	349
832	2	211
833	152	2270
834	349	4018
835	349	742
836	349	3531
837	349	4328
838	349	883
839	152	1895
840	349	3055
841	211	1204
842	152	491
843	211	2159
844	349	1879
845	349	1005
846	152	2159
847	211	1483
848	349	3425
849	341	349
850	152	4728
851	349	3410
852	14	579
853	349	1357
854	1231	2316
855	1319	2107
856	629	2107
857	132	1083
858	1083	3094
859	676	1798
860	211	994
861	211	1591
862	349	2708
863	211	406
864	152	2866
865	349	605
866	211	2053
867	349	702
868	211	310
869	349	3700
870	349	3807
871	349	3368
872	152	287
873	8	152
874	349	2398
875	211	1969
876	349	495
877	1824	2051
878	152	290
879	86	3360
880	211	3360
881	2865	3360
882	152	337
883	211	1677
884	152	260
885	349	1303
886	349	2430
887	349	944
888	349	1969
889	211	1096
890	939	1083
891	349	2779
892	349	1062
893	211	1159
894	211	387
895	1083	3522
896	2	152
897	211	4018
898	168	280
899	211	1722
900	349	2018
901	1188	2316
902	152	1780
903	349	2919
904	159	349
905	349	867
906	310	1439
907	349	659
908	152	2463
909	152	870
910	1096	1653
911	349	852
912	3235	3360
913	211	617
914	72	211
