V1	V2	V3	V4
1	6	143	349	2.49332978115257
2	6	146	349	2.45619794245316
3	146	168	349	2.44970863209059
4	143	168	349	2.43163135543463
5	143	152	349	2.42935067518411
6	143	349	668	2.4225876593955
7	143	241	349	2.41544782500136
8	143	203	349	2.39749051712713
9	6	349	1592	2.38338956405785
10	143	146	349	2.38040616837207
11	241	349	1592	2.37750832968165
12	146	152	349	2.37655672378147
13	143	280	349	2.37648132887959
14	349	668	1592	2.37495466162356
15	152	349	1592	2.37286741745764
16	146	241	349	2.37243809376621
17	349	668	1083	2.37179878619782
18	143	349	1096	2.36164747784395
19	146	280	349	2.35924557303332
20	6	168	349	2.35577214796996
21	146	349	668	2.35513074662996
22	146	349	1096	2.35253509167941
23	146	349	1482	2.35162582758207
24	143	349	1592	2.35086771968749
25	168	349	521	2.34764647387867
26	143	349	1482	2.34423023945722
27	241	349	2463	2.33530777933106
28	280	349	1592	2.33340030947983
29	668	1083	2184	2.33332189845921
30	349	668	1669	2.33249142716042
31	168	349	1592	2.33016193703529
32	349	668	2184	2.32945676378255
33	6	222	349	2.32807479338893
34	143	310	349	2.32770203017966
35	143	349	1083	2.32681096707923
36	143	349	392	2.32524049324158
37	349	668	2246	2.32487190610289
38	146	349	392	2.32459514602877
39	6	146	168	2.32047391049913
40	143	349	531	2.31937871329093
41	247	349	668	2.31772002550269
42	203	349	1592	2.31697293966229
43	72	349	668	2.31642887007857
44	6	152	349	2.31421620891941
45	349	1482	1592	2.31349141477498
46	280	349	1096	2.31070583413675
47	6	280	349	2.31057075582799
48	152	349	668	2.30997120819388
49	203	349	668	2.3099505565797
50	143	349	719	2.30991987310723
51	668	1083	2246	2.30977486425014
52	143	349	1669	2.30638886336072
53	349	668	1995	2.30604217522741
54	146	203	349	2.3052648469398
55	146	349	719	2.30430028956033
56	668	815	1083	2.30420608313924
57	241	349	668	2.30324544021261
58	222	241	349	2.30257714739801
59	143	349	1073	2.30212274505863
60	152	241	349	2.30155241555193
61	168	349	1096	2.30126061202302
62	152	222	349	2.29973632618816
63	72	668	1083	2.2995347637841
64	349	668	815	2.29852565019931
65	241	349	1267	2.29843809630173
66	143	349	521	2.29798039583487
67	143	349	2213	2.29796013818984
68	146	349	1995	2.2970889717269
69	247	668	1083	2.29695924490523
70	6	143	152	2.29621295065341
71	6	349	668	2.29565879105664
72	146	168	521	2.29449675753877
73	146	349	1083	2.29319119429229
74	146	349	531	2.29127263042342
75	143	349	415	2.2906089669007
76	146	349	3773	2.29053558974609
77	349	1096	1592	2.2894605627182
78	143	349	994	2.28945880379433
79	146	349	1592	2.28928873421941
80	168	241	349	2.2888947260918
81	349	392	1592	2.28833471068924
82	349	1083	1592	2.28750452573721
83	349	392	1096	2.28553933971441
84	53	349	668	2.28513637371942
85	143	349	551	2.28491781723724
86	241	349	1073	2.28419261506456
87	143	349	3773	2.28375078025603
88	168	222	349	2.28277855868289
89	222	280	349	2.28236567622246
90	14	143	349	2.28232555379433
91	146	349	2213	2.28209671051677
92	143	349	1892	2.28173313504266
93	6	143	168	2.28168153364782
94	280	349	1267	2.28164695438206
95	152	168	349	2.27985201821706
96	143	266	349	2.27952252421166
97	143	349	579	2.27869830379433
98	56	241	349	2.27775633665661
99	280	349	392	2.27743923488284
100	6	349	1096	2.27663706492959
101	143	349	3342	2.27602680379433
102	143	349	646	2.27573607943
103	143	349	2246	2.27557926879592
104	143	349	1984	2.27539755379433
105	143	349	1653	2.27504180379433
