V1	V2	V3	V4	V5
1	6	146	168	349	4.79107631650642
2	6	143	168	349	4.78120740910249
3	6	143	146	349	4.77138787071491
4	6	143	152	349	4.76655480795475
5	143	146	168	349	4.71823032921727
6	6	143	280	349	4.70829464745711
7	6	146	152	349	4.70555248730008
8	143	152	241	349	4.68960484890772
9	143	152	168	349	4.68552238611733
10	6	143	349	668	4.68467769712609
11	6	146	280	349	4.68285052235881
12	146	152	168	349	4.67972918081802
13	143	152	349	668	4.67922522103107
14	143	168	349	521	4.67423819747518
15	143	349	668	1083	4.67286740137021
16	143	146	152	349	4.67198175881096
17	6	143	349	1592	4.67196856917796
18	146	168	349	1096	4.67184253642342
19	6	143	241	349	4.6696763023596
20	143	152	203	349	4.6692462638785
21	146	168	349	521	4.6685933157644
22	6	143	349	1096	4.65599886052627
23	146	168	241	349	4.65403483641297
24	146	168	280	349	4.65194313629184
25	143	168	241	349	4.65004382154479
26	143	203	349	668	4.64888322565466
27	143	152	349	1592	4.64168152934548
28	143	152	280	349	4.64125521020921
29	6	146	349	1096	4.6386781051097
30	6	143	203	349	4.63849037136263
31	6	143	349	1482	4.63733590522259
32	6	146	349	1482	4.63652312409541
33	146	168	349	1482	4.63560198402163
34	143	168	349	1096	4.63395417648463
35	6	152	349	1592	4.63198232812388
36	143	241	349	668	4.62797818060253
37	152	241	349	1592	4.62703309085186
38	349	668	1083	2184	4.62580313605721
39	143	146	241	349	4.62334185634842
40	146	152	241	349	4.62272463571731
41	143	168	280	349	4.62217814603478
42	143	203	241	349	4.62124785495033
43	6	146	241	349	4.61845820187242
44	146	280	349	1096	4.61826335653151
45	349	668	1083	1592	4.61777895724655
46	143	280	349	1096	4.61568802909496
47	6	143	349	392	4.61128299423161
48	143	152	349	1482	4.61063280091543
49	6	146	349	668	4.60901241510853
50	143	152	349	1096	4.60868934402957
51	152	349	668	1592	4.60695996052297
52	349	668	1083	2246	4.60682057433904
53	6	146	349	392	4.60242927776677
54	6	146	349	1592	4.60218121445786
55	143	241	349	1592	4.60180116912223
56	6	168	349	1592	4.60164876859875
57	6	143	349	1083	4.60108159945368
58	146	349	668	1083	4.6007141852651
59	146	152	280	349	4.60014897240767
60	143	146	280	349	4.60005590065659
61	146	168	349	531	4.59942225245913
62	6	143	310	349	4.59882501711976
63	143	168	349	668	4.59748059146266
64	72	349	668	1083	4.59726670743112
65	143	168	203	349	4.59486065553398
66	146	152	349	1482	4.59415790708502
67	143	152	310	349	4.59191787698419
68	143	241	280	349	4.59174335008662
69	143	241	349	1073	4.59148494792111
70	143	349	668	1669	4.59117066728346
71	143	152	349	1073	4.59090755705431
72	143	310	349	668	4.59085021175998
73	6	82	146	349	4.5883520038634
74	146	152	349	668	4.58789782631027
75	143	146	349	668	4.58723608869357
76	6	280	349	1592	4.58712440595295
77	146	168	349	1995	4.58711601808054
78	203	349	668	1083	4.58542438425246
79	143	241	310	349	4.58395436459514
80	349	668	1083	1669	4.58383712782165
81	143	168	349	1482	4.58120564979344
82	349	668	1083	1995	4.58072433061873
83	143	168	349	531	4.58052758922331
84	143	349	668	1592	4.58044908054553
85	247	349	668	1083	4.58035121421968
86	143	241	349	531	4.57866071522471
87	6	143	349	551	4.57821023057041
88	349	668	815	1083	4.57797232968129
89	146	168	349	668	4.57702442480045
90	146	152	349	1096	4.57570647590976
91	143	146	349	1096	4.57498332327025
92	143	241	349	1096	4.57490399905098
93	143	349	668	2246	4.57451118035641
94	241	349	668	1592	4.5742566825012
95	152	280	349	1592	4.57354192807329
96	143	168	349	1592	4.57207271102033
97	146	280	349	1482	4.57117838187755
98	146	280	349	392	4.57116974220757
99	143	146	203	349	4.57036853820705
100	146	349	392	1096	4.56903112068843
101	6	143	349	531	4.56873897559166
102	143	152	349	392	4.56808611463136
103	6	152	168	349	4.56744213306069
104	143	203	349	1083	4.56740556944967
105	280	349	392	1096	4.56650475485968
106	146	168	349	719	4.56645269812423
107	6	146	349	1995	4.5658922663445
108	143	146	349	1482	4.56435542492031
109	152	203	349	1592	4.56409642367751
110	143	241	349	1083	4.56341248828626
111	146	168	349	1083	4.56303524203592
112	6	143	349	719	4.56101750313093
113	143	349	668	1096	4.56095408344513
114	146	241	280	349	4.56042133245257
115	143	280	349	392	4.56012737581927
116	143	152	349	531	4.55975974198637
117	152	168	349	1592	4.55942070498183
118	6	146	349	1083	4.55925345741471
119	6	349	668	1592	4.55895547724975
120	6	146	349	551	4.5582263376705
121	143	152	349	1083	4.55807108846901
122	6	143	222	349	4.55788027125134
123	146	168	349	1592	4.55749447165559
124	241	349	668	1083	4.55676887884775
125	146	152	349	1592	4.55623206192215
126	143	203	349	1592	4.55546570778791
127	6	168	349	521	4.55532011868523
128	6	143	349	521	4.55526805856844
129	152	349	1482	1592	4.55526171349704
130	143	152	349	415	4.55520715863448
131	146	168	349	392	4.55433724214156
132	53	349	668	1083	4.55431388733174
133	143	247	349	668	4.5541076974732
134	143	241	349	1482	4.55401255238642
135	6	241	349	1592	4.55364758493549
136	6	168	280	349	4.55332178619124
137	143	280	349	668	4.55319868448077
138	146	152	203	349	4.55315011173591
139	203	349	668	1592	4.5525836454082
140	143	280	349	1482	4.5520950801516
141	6	152	222	349	4.55182636152298
142	146	241	349	1096	4.55170535109866
143	143	349	392	1096	4.54986538461841
144	143	168	349	1083	4.54965426871954
145	146	168	203	349	4.54963573144997
146	349	668	1083	3525	4.54878073536256
147	143	152	349	1669	4.54773441740706
148	143	280	349	1592	4.54759971396146
149	146	241	349	1482	4.54732187872349
150	6	168	222	349	4.54724051491492
151	6	146	349	719	4.547189550332
152	6	14	143	349	4.54664928115257
153	146	241	349	668	4.54643500604922
154	143	152	349	2213	4.54606962139426
155	6	168	349	1096	4.54599797677832
156	143	203	310	349	4.5447880990495
157	6	143	266	349	4.54471901115267
158	152	349	668	1083	4.54425039682901
159	146	152	349	392	4.54357028546329
160	143	241	349	719	4.54267240060569
161	241	280	349	1592	4.54257383035747
162	168	241	349	1592	4.54248590281606
163	14	143	152	349	4.54224267518411
164	241	349	1073	1592	4.54077435445716
165	143	152	349	994	4.53866592518411
166	6	146	203	349	4.53805633192327
167	168	280	349	1096	4.53788593519075
168	143	152	266	349	4.53779086968724
169	6	280	349	1096	4.53768046380171
170	6	143	349	1669	4.53751269590278
171	152	241	349	2463	4.53722062916366
172	143	152	349	719	4.53665849449701
173	146	241	349	531	4.53646837056942
174	143	152	349	3773	4.5360162342809
175	203	241	349	1592	4.5346417771561
176	6	143	349	579	4.53450528115257
177	146	152	349	1995	4.53447765914366
178	143	203	349	1096	4.53391924261333
179	143	349	531	1096	4.53384306465074
180	6	152	280	349	4.53312359156563
181	6	146	349	531	4.53242452347212
182	668	1083	2184	2246	4.53229427490903
183	280	349	1096	1592	4.53227108955975
184	143	152	349	1892	4.53190825643243
185	152	241	349	1073	4.53168837857245
186	349	392	411	1096	4.53145250039599
187	143	152	349	551	4.53125943862702
188	6	143	349	2213	4.53110677122685
189	143	152	349	579	4.53060242518411
190	143	152	349	3342	4.52986217518411
191	146	168	349	3773	4.52965029466322
192	143	152	349	617	4.52947267518411
193	6	222	280	349	4.52906489736415
194	143	203	349	1073	4.52859477349906
195	6	349	1482	1592	4.52850785843595
196	349	668	2184	2246	4.52756591321224
197	6	143	349	3773	4.52746232533908
198	143	152	349	899	4.52734742518411
199	152	222	241	349	4.52726071263624
200	6	143	211	349	4.52716278115257
201	349	668	1083	2734	4.52687501989593
202	146	349	392	1482	4.52682408843156
203	143	152	349	1984	4.52677442518411
204	6	143	349	1667	4.5267334610283
205	349	668	1592	1669	4.52658968162579
206	6	146	310	349	4.52656389466362
207	146	241	349	1592	4.52613592186637
208	6	146	349	3773	4.52603876557711
209	146	349	531	1096	4.52554806506606
210	6	143	349	939	4.52525453115257
211	143	168	349	719	4.5250715355678
212	143	241	349	415	4.52504945673715
213	143	168	310	349	4.52491391249537
214	6	143	349	1798	4.52480359481324
215	143	146	349	392	4.52474932359783
216	6	143	326	349	4.52418073840233
217	6	11	146	349	4.52416086187895
218	143	203	280	349	4.5240365422124
219	6	143	349	617	4.52313128115257
220	146	241	349	719	4.52296655527101
221	152	203	349	668	4.52289779257249
222	349	668	1592	2246	4.52248781897051
223	143	152	349	1299	4.52214967518411
224	152	349	1073	1592	4.5216532011836
225	6	143	349	899	4.52078528115257
226	143	146	310	349	4.52061408322541
227	143	146	349	1083	4.52043083165697
228	139	143	152	349	4.51987717518411
229	53	143	349	668	4.51981480494525
230	143	349	668	3525	4.519698026796
231	6	143	349	1532	4.51928946210535
232	6	139	143	349	4.51923578115257
233	6	143	196	349	4.51907220607055
234	146	152	349	3773	4.5189305618157
235	152	241	349	668	4.5185939533604
236	146	203	349	668	4.51812411214916
237	241	349	1083	1592	4.51801754661485
238	143	152	349	1153	4.51760442518411
239	6	143	349	1073	4.51742422241687
240	241	349	1482	1592	4.51718522737479
241	6	143	349	1984	4.51700053115257
242	143	146	349	531	4.51697950309451
243	6	143	349	1892	4.51653846426948
244	143	152	349	3622	4.51651592518411
245	146	241	349	1073	4.51598836618083
246	146	349	668	1669	4.51574411117136
247	146	241	349	1083	4.51570645371154
248	146	349	1096	1482	4.51560411451835
249	143	152	349	407	4.51550617518411
250	349	668	1083	1466	4.51529401400855
251	143	152	349	2334	4.51517117518411
252	152	349	668	1669	4.51502847044818
253	280	349	411	1096	4.5149818897985
254	146	203	241	349	4.51493592297522
255	6	14	146	349	4.51472169245316
256	6	143	349	639	4.51465904603128
257	143	152	349	1653	4.51422717518411
258	72	152	349	668	4.51391888111938
259	143	152	349	939	4.51382472463276
260	349	668	1083	1096	4.51381331268172
261	141	349	668	1083	4.51379987741165
262	146	349	668	1096	4.51330825396242
263	6	53	143	349	4.51304967779191
264	143	152	189	349	4.51259042518411
265	6	143	349	3342	4.51223053115257
266	280	349	392	1592	4.51199156885748
267	152	349	1096	1592	4.51187016616766
268	6	146	349	1028	4.51184322052728
269	146	349	668	1995	4.511786130283
270	6	146	152	168	4.51149644425356
271	146	349	719	1096	4.51086062586774
272	143	152	349	916	4.51072442518411
273	6	143	349	359	4.51062886598002
274	349	668	1669	2246	4.51038004442347
275	6	143	349	1028	4.51033799126567
276	280	349	1482	1592	4.51012623105991
277	6	152	349	668	4.51007530710024
278	143	152	222	349	4.50977691081831
279	143	349	668	1418	4.50966788418273
280	143	349	668	1073	4.50953910065981
281	6	143	349	994	4.50949903115257
282	143	349	531	668	4.5094885688921
