V1	V2	V3	V4	V5	V6
1	6	143	146	168	349	7.85225260786973
2	6	143	146	152	349	7.7936321165662
3	6	143	152	168	349	7.76576709519759
4	6	146	152	168	349	7.75176552064626
5	143	146	152	168	349	7.72114057894907
6	6	146	168	280	349	7.71858866192695
7	6	143	146	280	349	7.71631544421871
8	6	143	152	280	349	7.70373718419913
9	6	146	168	349	1096	7.70102612616333
10	6	143	168	280	349	7.69703204092192
11	6	143	152	349	1592	7.69345103424836
12	6	143	168	349	521	7.67456643651836
13	6	143	152	241	349	7.67450198167836
14	6	143	152	349	668	7.67198391417406
15	6	143	168	349	1096	7.67134613547657
16	6	146	168	349	1482	7.66353985684459
17	6	143	146	241	349	7.66201655869126
18	6	146	168	349	521	7.66071318555556
19	6	146	152	280	349	7.65442257714556
20	6	143	146	349	1096	7.65378093093717
21	143	146	168	241	349	7.65092496209674
22	6	143	168	241	349	7.64731287521265
23	143	146	152	241	349	7.64651809930389
24	6	146	168	241	349	7.6430955208288
25	6	143	146	349	1482	7.64190731567029
26	6	143	152	203	349	7.64091477352641
27	143	146	168	349	1096	7.64027713111582
28	143	146	168	280	349	7.63873982701668
29	146	168	280	349	1096	7.63843056679041
30	6	143	168	349	1592	7.63621413682043
31	143	152	168	241	349	7.63553550474407
32	6	143	280	349	1096	7.63531725299655
33	143	152	203	349	668	7.63472016265182
34	6	143	152	349	1482	7.6344071220932
35	6	143	146	349	668	7.63377235140877
36	6	143	152	349	1096	7.63370938212429
37	143	146	168	349	521	7.63092606959168
38	6	146	280	349	1096	7.62968421118108
39	143	203	349	668	1083	7.629061356667
40	143	152	203	241	349	7.62460425421829
41	143	152	241	349	1592	7.62421563129681
42	143	152	349	668	1083	7.61820871300578
43	6	143	168	349	1482	7.61735189186843
44	143	152	241	349	668	7.61621639475469
45	146	152	168	241	349	7.61565603765699
46	143	146	152	280	349	7.61384900103531
47	6	146	168	349	1592	7.61342752820366
48	143	152	241	349	1073	7.61187041243337
49	6	146	152	349	1482	7.60972385901076
50	146	152	168	349	1096	7.60634857994669
51	146	152	168	280	349	7.60418119495911
52	6	143	349	668	1083	7.60269259411701
53	6	143	168	349	668	7.60261120550287
54	6	146	152	349	1592	7.599793197573
55	6	146	152	241	349	7.59941339923592
56	6	146	168	349	1995	7.59895988900776
57	143	152	168	280	349	7.59828668665731
58	6	143	146	203	349	7.59581461742716
59	6	143	146	349	392	7.59523804957247
